==================================================
3Dps Server
==================================================
Time:         2026-03-02 10:03:07.361268
Python:       3.11.9 (tags/v3.11.9:de54cf5, Apr  2 2024, 10:12:12) [MSC v.1938 64 bit (AMD64)]
Working dir:  D:\projects\3Dps\backend
PID:          20252
Service mode: True
==================================================

  Open in browser: http://127.0.0.1:8000

INFO:     Will watch for changes in these directories: ['D:\\projects\\3Dps\\backend']
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [20252] using StatReload
INFO:     Started server process [4964]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/3: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/3 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/4: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/4 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/5: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/5 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/7: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/7 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/9: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/9 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/15: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/15 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/16: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/16 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/17: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/17 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/18: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/18 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/19: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/19 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/23: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/23 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/video HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:63592 - "GET /api/projects/ea8f8f0a/video HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:63592 - "GET /api/projects/ea8f8f0a/video HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:63593 - "GET /api/projects/ea8f8f0a/quality_preview_frame?time_ms=13767&user_quality=100&max_width=260 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63594 - "GET /api/projects/ea8f8f0a/quality_preview_frame?time_ms=13767&user_quality=70&max_width=260 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63593 - "POST /api/projects/ea8f8f0a/estimate HTTP/1.1" 200 OK
INFO:     127.0.0.1:63593 - "POST /api/project/ea8f8f0a/save HTTP/1.1" 200 OK
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/21: Not Found
